"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Cape Verde","CPV","Population (Total)","SP.POP.TOTL","217150","222725","228818","235189","241659","248050","254371","260848","267814","275426","283990","293218","301968","308699","312413","312516","309609","305363","302133","301591","304432","310092","317457","324815","330966","335517","338984","342157","346209","351960","359642","368873","379100","389504","399477","408790","417562","425932","434168","442426","450812","459140","466939","473577","478651","481940","483713","484651","485714","487601","490556","494401","",
"Costa Rica","CRI","Population (Total)","SP.POP.TOTL","1381532","1431088","1481890","1532828","1583078","1632500","1681241","1729135","1776076","1822106","1867044","1911212","1955790","2002358","2052076","2105377","2162047","2221800","2284076","2348427","2414832","2483355","2553714","2625561","2698616","2772823","2848141","2924348","3001196","3078551","3155979","3233568","3312307","3393575","3478197","3566605","3658020","3750585","3841734","3929588","4013488","4093840","4171145","4246336","4320130","4392493","4463226","4532711","4601424","4669685","4737680","4805295","",
"South Asia (IFC classification)","CSA","Population (Total)","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Population (Total)","SP.POP.TOTL","4265016.2","4344727.2","4424757.2","4502812.2","4577495","4649483.8","4718146.2","4783745.6","4847100","4908650","4967575.96","5024903.4","5080882.84","5135484.48","5189031","5242332.84","5294300.04","5346526.04","5401595.64","5460759","5519477","5586075","5654573","5720024","5775889","5823298","5859131","5885272","5924801","5962579","6003430.9876587","6047099.60848551","6092912.64567244","6139813.05465619","6187109","6243442.42512675","6293503.67507572","6342332.0511581","6387127.36407701","6431379.55137656","6477937.61906298","6523511.22444646","6565990","6613598","6661619","6710467","6759652","6807444","6851632","6892012","6930866","6968753","",
"Cuba","CUB","Population (Total)","SP.POP.TOTL","7289830","7450405","7618358","7787144","7951916","8110405","8263513","8413282","8563130","8715054","8869924","9025344","9176167","9315458","9438366","9543798","9633669","9710009","9776117","9835085","9886228","9930589","9975082","10028578","10097020","10183690","10285920","10396268","10503898","10600841","10684831","10757891","10821551","10878823","10932013","10980758","11024249","11063917","11101580","11138416","11175465","11212125","11245926","11273363","11292078","11301100","11301674","11296355","11288826","11281768","11276053","11270957","",
"Curacao","CUW","Population (Total)","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144472","139428","133860","128752","128182","130006","131591","134464","137490","139841","141279","141972","143784","150788","151892","",
"Cayman Islands","CYM","Population (Total)","SP.POP.TOTL","8026","8142","8228","8299","8371","8442","8518","8632","8831","9144","9583","10137","10785","11494","12238","13020","13840","14663","15447","16164","16795","17357","17911","18543","19315","20254","21343","22539","23776","25009","26211","27402","28652","30055","31672","33535","35596","37742","39810","41685","43317","44742","46032","47299","48623","50026","51472","52912","54275","55509","56601","57570","",
"Cyprus","CYP","Population (Total)","SP.POP.TOTL","576395","577691","577912","578629","580971","585311","591304","598491","606117","613619","620860","628000","635109","642335","649755","657526","665528","673252","680013","685406","689173","691711","694074","697717","703693","712340","723380","736477","751047","766611","783138","800660","818814","837166","855389","873246","890733","908040","925491","943287","961481","979877","998142","1015820","1032586","1048314","1063095","1077089","1090553","1103685","1116513","1128994","",
"Czech Republic","CZE","Population (Total)","SP.POP.TOTL","9586651","9624660","9670685","9727804","9779358","9821040","9852899","9876346","9896580","9858071","9826815","9867632","9922266","9988459","10058620","10125939","10186755","10242098","10292341","10304193","10300591","10314826","10323856","10330213","10337118","10342227","10347318","10355276","10361068","10333355","10308578","10319123","10329855","10333587","10327253","10315241","10304131","10294373","10283860","10272322","10236491","10204853","10207362","10216016","10235828","10269134","10334160","10424336","10487178","10519792","10496088","10514810","",
"Germany","DEU","Population (Total)","SP.POP.TOTL","73377632","74025784","74714353","75318337","75963695","76600311","76951336","77294314","77909682","78169289","78312842","78688452","78936666","78967433","78673554","78336950","78159814","78091820","78126350","78288576","78407907","78333366","78128282","77858685","77684873","77720436","77839920","78144619","78751283","79433029","80013896","80624598","81156363","81438348","81678051","81914831","82034771","82047195","82100243","82211508","82349925","82488495","82534176","82516260","82469422","82376451","82266372","82110097","81902307","81776930","81797673","81889839","",
"Djibouti","DJI","Population (Total)","SP.POP.TOTL","88499","94200","100622","107584","114963","122866","131401","140459","149887","159667","169374","179224","190560","205197","224244","248710","277750","308385","336479","359247","375041","385184","393443","405229","424227","451942","486555","524393","560124","589924","612589","629373","641900","652793","663999","675891","687897","699922","711652","722887","733732","744434","755085","765776","776585","787544","798690","810100","821865","834036","846646","859652","",
"Dominica","DMA","Population (Total)","SP.POP.TOTL","61035","61984","62920","63921","65038","66305","67682","69042","70212","71076","71566","71737","71745","71811","72091","72648","73411","74239","74923","75313","75376","75168","74750","74215","73640","73025","72368","71743","71242","70928","70849","70978","71205","71372","71367","71146","70756","70295","69902","69679","69660","69806","70058","70325","70542","70690","70795","70883","70996","71167","71401","71684","",
"Denmark","DNK","Population (Total)","SP.POP.TOTL","4611687","4647727","4684483","4722072","4759012","4797381","4835354","4864883","4891860","4928757","4963126","4991596","5021861","5045297","5059862","5072596","5088419","5104248","5116801","5123027","5121572","5117810","5114297","5111619","5113691","5120534","5127024","5129516","5132594","5140939","5154298","5171370","5188628","5206180","5233373","5263074","5284991","5304219","5321799","5339616","5358783","5375931","5390574","5404523","5419432","5437272","5461438","5493621","5523095","5547683","5570572","5590478","",
