Bundestagswahl 2013
Endgültig
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
289;Reutlingen;8;199091;198399;;;150014;145797;;;1883;3392;1992;2561;148131;142405;148022;143236;76870;60739;68394;48389;29859;31385;28558;25762;5665;18198;10441;28734;5966;8449;7089;10056;18399;19869;16195;21388;;;;;;;3267;2792;1764;2488;1517;1818;;;962;853;;;543;1282;794;;505;406;;;;;;;;;;;346;;;;;;;;314;584;;;23;75;;;;264;296;490;139;190;;;324;466;;;;;6435;;8245;;;;71;;;;104;;;;;;;;;;1119;;875;;;;;;;;110;;;;;;;;;;;;;;;;;;;;;;964;787;;177;
290;Tübingen;8;193188;189559;;;149768;143896;;;1789;2199;1487;1855;147979;141697;148281;142041;69354;55188;61889;43603;30160;28501;30417;26823;3358;13680;8208;24233;9589;9801;9820;11185;24477;30560;21978;26939;;;;;4402;;3979;3648;1558;2078;1297;1452;;;1053;870;;;439;1122;;814;589;633;;;;;;;;;;;276;;;;;;;;340;525;;;30;63;;;;318;;;95;140;;;267;372;;;;;5081;;6815;;;;73;;;;94;;;;;;;;;;;;509;;;;;;;;113;;;;;;;;;;;;;;;;;;;;;;;1075;;115;
291;Ulm;8;220702;218934;;;167199;161713;;;2153;3270;1731;2567;165046;158443;165468;159146;85984;67812;80370;57169;39321;35885;33432;28434;4371;18278;8662;28714;6012;9608;7087;10648;16041;21479;17023;22893;;;;;4320;;4075;4307;;2513;1747;1794;;;1158;1088;;;553;1211;;;724;859;;;;;;;;;;;422;;;;;;;;344;647;;;46;97;;;;392;;310;114;161;;;342;525;;;;;5989;;7839;;;;95;;;;147;;;;;;;;;;1660;;1147;;;;;;;;141;;;;;;;;;;;;;;;;;;;;;;1348;2558;;207;
292;Biberach;8;163772;162508;;;121718;117289;;;2131;3263;1630;2303;119587;114026;120088;114986;70540;48662;67567;49688;23786;26275;17814;15742;2567;17233;5851;21665;4013;6117;4075;6636;10754;11176;10887;12524;;;;;3411;;2503;2277;;2389;1062;1401;;;825;879;;;599;1289;1958;1760;1166;1536;;;;;;;;;;;316;;;;;;;;209;413;;;28;77;;;;277;;;20;40;;;273;382;;;;;;;5072;;;;66;;;;105;;;;;;;;;;2558;;1516;;;;;;;;134;;;;;;;;;;;;;;;;;;;;;;;414;;160;
293;Bodensee;8;171016;167789;;;128696;122655;;;1930;2181;1487;1767;126766;120474;127209;120888;68333;54169;61961;44205;26105;23587;23125;20080;4955;16521;8086;24483;5749;7077;5629;7775;14224;17349;14955;16962;;;;;2825;;2594;2441;1594;1771;1091;1277;;;950;813;;;303;628;1415;;902;705;;;;;;;;;;;254;;;;;;;;163;344;;;21;57;;;;444;;;51;57;;;362;402;;;;;;;5689;;;;37;;;;75;;;;;;;;;;1566;;863;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;;215;
294;Ravensburg;8;185006;181362;;;135877;130128;;;1630;3110;1371;1966;134247;127018;134506;128162;69312;56931;67251;48146;26909;22530;23266;19969;3320;17946;7047;23997;4424;7918;5770;8428;18298;18639;16571;18408;;;;;2761;;2837;2404;1252;2006;1164;1250;;;951;883;;;418;944;2782;;1982;1965;;;;;;;;;;;297;;;;;;;;231;493;;;23;86;;;;444;;;60;74;;;320;480;;;;;3674;;5200;;;;29;;;;85;;;;;;;;;;1192;;901;;;;;;;;103;;;;;;;;;;;;;;;;;;;;;;323;1048;;191;
295;Zollernalb - Sigmaringen;8;184370;185890;;;132905;130436;;;2714;3243;1844;2621;130191;127193;131061;127815;78966;62858;69176;49774;23684;21695;22447;20001;3069;17220;7393;27454;5460;8292;5359;8763;10802;11802;11008;12571;;;;;;;2746;2477;2756;2895;1854;2036;;;1012;956;;;668;1527;1194;;543;572;;;;;;;;;;;328;;;;;;;;289;600;;;37;65;;;;297;544;;198;137;;;282;385;;;;;;;6161;;;;45;;;;132;;;;;;;;;;3716;;1222;;;;;;;;161;;;;;;;;;;;;;;;;;;;;;;;2431;;200;
8;Baden-Württemberg;99;7689895;7633818;;;5711469;5530242;;;84058;105893;69450;88153;5627411;5424349;5642019;5442089;2873905;2307250;2576606;1874481;1332623;1285617;1160424;1051198;164210;645560;348317;1022958;236251;345551;272456;389637;614298;694760;623294;755648;;;;;113966;11400;130767;112006;66608;89204;56302;61575;;;43277;37823;8245;3235;21847;48693;30607;13187;23704;24525;;;;;;;;;;;14472;;;;;;;8588;12878;24430;282;819;1042;2872;972;1023;;12593;2099;3007;2941;3640;;;11032;13648;;;;;133727;;295988;;;;3529;;;;4595;;;;;;;;;;36305;;33479;;;;;;;;5069;;1677;;;;;;;;;;;;231;;;;;;;;11405;15148;;6362;

213;Altötting;9;167160;166775;;;111846;112507;;;985;1738;985;1221;110861;110769;110861;111286;;;;;15921;16724;16797;14831;2293;9508;4365;13992;2832;5362;3241;5641;6030;8477;6394;8923;72915;67284;64998;57712;2318;;1902;1896;;2045;702;1347;;;759;650;;;541;1086;;;1349;1517;;;;789;;;39;720;;;;;;;1485;1297;;;;99;388;1369;116;309;654;;350;251;;;15;20;;;;;;;;;3669;;4496;;;;;;;;79;;;;;;;;213;;3841;;2884;;;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;206;
214;Erding - Ebersberg;9;192385;185961;;;143626;140360;;;1083;2228;929;1157;142543;138132;142697;139203;;;;;27233;24402;23670;19106;3125;16433;7322;22094;3712;6073;4178;6265;11377;17573;12587;17458;78991;67518;72850;61088;;;2611;2562;;1837;607;1018;;;1029;959;;;1052;1711;2992;3969;1976;2453;;;;996;178;;119;1416;;;;;2791;;2177;1434;;;;91;;;31;54;;;171;289;;;25;35;;;;;;;;;6385;;7395;;;;;;;;92;;;;;;;;247;;5469;;4443;;;;;;;;115;;;;;;;;;;;;;;;;;;290;;;;;327;;174;
215;Freising;9;216717;212087;;;155881;154723;;;1439;2174;1106;1218;154442;152549;154775;153505;;;;;27165;21693;25243;20646;3854;20220;7248;22532;4440;8510;5030;8417;18169;25879;14390;18984;81729;71748;78924;68578;3539;;3157;3691;;2636;1181;1855;;;1154;1031;;;500;928;2568;88;1913;1933;;;;1052;;1697;44;1622;;;;;;63;2010;1467;;;;162;;5;29;47;;;187;338;;;26;32;;;;;;;;;5855;;7424;;;;;;;;123;;;;;;;;264;;7123;;5780;;;;;;;;148;;;;;;;;;;;;;;;;;;;;;;;10;;190;
216;Fürstenfeldbruck;9;251146;244678;;;188417;186845;;;1377;2143;1164;1556;187040;184702;187253;185289;;;;;37575;35144;34660;29179;4196;20645;9455;29842;5096;7146;5711;8768;14515;19965;16586;23104;103904;90368;94458;79120;4259;;3599;3568;;2007;901;1508;;;1401;1313;;;540;879;2814;3120;2056;1851;;;;1065;;2415;62;2196;;;;;;3109;2086;1990;;;;150;;;23;70;;;240;408;;;40;36;;;;;;;;;8672;;9807;;;;;;;;161;;;;;;;;275;;6009;;5051;;;;;;;;141;;;;;;;;;;;;;;;;;;;;;;;783;;242;
217;Ingolstadt;9;254661;250512;;;174710;174765;;;1378;2418;1511;1611;173332;172347;173199;173154;;;;;28561;26630;29880;26701;3471;13994;7407;21359;6755;10838;6163;10621;11340;14082;10752;14178;106668;98542;96804;85841;3615;;3095;3421;;3276;1472;2569;;;1061;993;;;727;1257;2224;3863;1986;2323;;;;1147;;;63;585;;;;;;;1796;1321;;;;227;;656;23;120;;;194;226;;;27;34;;;;;;;;;4878;;6089;;;;;;;;104;;;;;;;;266;;5205;;5114;;;;;;;;176;;615;;;;;;;;;;;;;;;;;;;;;466;;231;
218;München-Nord;9;225557;220785;;;155942;158045;;;1185;1459;698;1123;154757;156586;155244;156922;;;;;48625;55691;38350;31067;5749;15766;12778;28189;5722;7773;7088;10705;15962;15307;21174;27405;66930;57161;57100;48622;4979;;4223;4164;1142;1531;654;1117;;;1071;1019;;;262;482;2320;1732;1544;1283;;;;461;;;42;932;;;;;;;900;751;;;;96;228;217;56;95;;;209;306;164;123;60;70;;;;;;;;;;;7106;;;;;;;;110;;;;;;;;196;;2936;;2193;;;;;;;;128;;;;;;;;;;;;;;;;;;;;;;;1285;;158;
219;München-Ost;9;236523;231017;;;168795;170334;;;1355;1469;753;1028;167440;168865;168042;169306;;;;;48051;44917;39187;32109;6920;24022;13775;31531;5713;9109;7131;10996;17100;21722;21719;27466;74745;61412;66349;55854;3757;;3814;3715;1145;1286;621;1038;;;1124;1099;;;297;439;2702;2147;1575;1283;;;;546;;1616;47;1358;;;;;2080;1574;1235;1079;;;;106;249;221;45;127;;;210;352;;;41;51;;;;;;;;;;;7807;;;;;;;;113;;;;;;;;206;;4978;;2600;;;;;;;;146;;;;;;;;;;;;;;;;;;;;;;;839;;157;
220;München-Süd;9;215368;211617;;;154146;155666;;;975;1546;749;1000;153171;154120;153397;154666;;;;;43571;43835;36877;30403;4650;17033;10727;25600;6027;8266;7341;10603;17407;20507;21440;26219;66513;58849;58097;51064;3950;;4003;3624;744;1289;632;1073;;;1092;1005;;;283;503;2598;2097;1418;1236;;;;493;;;46;1176;;;;;;;1088;813;;;;153;138;460;49;148;;;224;325;;;42;54;;;;;;;;;4661;;7082;;;;;;;;82;;;;;;;;256;;2912;;2493;;;;;;;;125;;;;;;;;;;;;;;;;;;;;;;;1784;;174;
221;München-West/Mitte;9;239700;231682;;;174322;173138;;;1303;1561;789;1086;173019;171577;173533;172052;;;;;49419;47101;41108;32308;6984;20442;12850;29355;7135;9665;8312;11587;22743;24967;27068;33340;73661;63075;64221;53814;4420;;4313;4045;996;1413;643;1029;;;1219;1120;;;272;498;2796;2623;1770;1550;;;;528;;;51;1069;;;;;;;1002;929;;;;160;185;412;60;140;;;249;361;;;125;33;;;;;;;;;;;7249;;;;;;735;;201;;;;;;;;291;;3713;;2387;;;;;;;;142;;;;;;;;;;;;;;;;;;;;;;232;1879;;186;
222;München-Land;9;247787;242625;;;192033;192148;;;1161;1783;1173;1145;190872;190365;190860;191003;;;;;38786;37277;37497;31856;7429;26030;16300;37893;3996;7201;5380;8581;21279;25062;18960;24576;100176;87060;89504;75712;3299;;3546;3471;;1548;626;1145;;;1346;1131;;;533;793;2211;1986;1661;1515;;1926;;1106;200;1601;92;1490;;;;;;;1325;1038;;;;105;;;27;62;;;189;337;;;32;20;;;;;;;;;7606;;9303;;;;;;;;112;;;;;;;;237;;5551;;3986;;;;;;339;;204;;;;;;;;;;;;;;;;;;;;;;;674;;172;
223;Rosenheim;9;231069;226483;;;162958;161912;;;1336;2087;1147;1544;161622;159825;161811;160368;;;;;20229;23041;23966;20380;4272;14745;8040;23226;3932;5967;4688;7074;15125;19499;13631;18258;93964;82305;87569;74860;3651;;2788;2503;;1172;772;1186;;;1111;966;2015;3455;1368;2960;3290;3905;2419;2669;;;;926;;1749;36;1602;;;;;3674;3612;3088;2659;;;;149;189;375;96;193;;;241;455;;;24;34;;;;;;;;;6571;;7792;;;;;;;;93;;;;;;;;269;;4484;;3653;;;;;;;;167;;;;;;;;;;;;;;;;;;;;;;226;;;268;
224;Starnberg;9;245379;242366;;;182283;183059;;;2179;2456;1195;1459;180104;180603;181088;181600;;;;;31678;28179;27345;23078;13381;25954;13346;34361;5041;6928;4796;7442;16031;19133;16417;21967;97383;98057;93201;81106;4011;;2804;2611;;2215;739;1409;;;1322;1167;;;415;786;3429;41;1985;1717;;49;;939;;35;49;2025;;;;;;;2609;1973;;;;140;;;35;68;;;397;516;;;22;33;;;;;;;;;;;10160;;;;;;;;123;;;;;;;;235;;9150;;4887;;;;;;;;201;;;;;;;;;;;;;;;;;;;;;;;12;;262;
225;Traunstein;9;206868;205115;;;141456;142584;;;1544;1966;1126;1402;139912;140618;140330;141182;;;;;24570;21406;20875;17747;3313;10142;6139;18243;4117;6156;4193;7122;11973;16188;12334;16341;87598;76741;80351;68886;3034;;2116;1868;;2063;771;1641;;;912;864;1917;;813;1420;3390;2409;1843;1927;;;;727;;1296;43;1188;;;;;;2860;1808;2163;;;;245;;608;36;139;;;202;325;;;18;16;;;;;;;;;;;4597;;;;;;;;85;;;;;;;;187;;;;2843;;;;;;;;164;;;;;;;;;;;;;;;;;;;;;;;749;;320;
226;Weilheim;9;252724;249153;;;184167;183832;;;1951;2439;1397;1704;182216;181393;182770;182128;;;;;30019;25894;28342;23512;5325;19076;9461;28911;5321;7568;5629;8897;15559;21516;16017;20871;104236;94302;95885;83058;3137;;2907;3098;1581;1883;1062;1501;;;1284;1128;;;412;835;5010;4511;3011;3277;;;;1257;;1921;79;1966;;;;;5599;3399;3573;2740;;;;219;;;32;57;;;271;489;;;45;28;;;;;;;;;;;9665;;;;;;;;137;;;;;;;;321;;6429;;4441;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;1323;;284;
227;Deggendorf;9;155082;154767;;;93941;94922;;;843;1524;739;1049;93098;93398;93202;93873;;;;;14779;15336;15438;13611;1950;11065;3557;13485;2802;6851;3107;7536;4187;6717;4065;6189;57145;49398;52481;43628;1296;;1280;1160;1664;3039;1440;2190;;;661;537;;;435;1449;;;935;1178;;;;686;;;36;514;;;;;1773;;1559;1213;;;;110;;;13;25;;;87;187;;;11;17;;;;;;;;;3040;;3787;;;;;;;;66;;;;;;;;171;;4462;;4007;;;;;;;;66;;;;;;;;;;;;;;;;;;;;;;;992;;158;
228;Landshut;9;251273;246833;;;171644;171065;;;1648;2818;1206;1584;169996;168247;170438;169481;;;;;27537;25337;27160;23634;5147;22940;7989;24031;4920;9362;5161;9554;14085;17133;11427;15002;98703;84953;92069;82466;3349;;2642;2843;2211;3295;1378;2373;;;1328;1172;;;489;1373;4002;4051;2176;2635;;;;1152;;;40;705;;;;;;;2464;1397;;;;130;;;27;41;;1176;274;710;;;22;28;;;;;;;;;;;6111;;;;;;;;153;;;;;;;;309;;10042;;9038;;;;;;;;181;;;;;;;;;;;;;;;;;;;;;;;;;235;
229;Passau;9;186392;186068;;;117391;118249;;;1280;1536;949;1124;116111;116713;116442;117125;;;;;22845;16573;21611;17773;;22069;5198;18202;3763;9217;4399;9198;5956;8767;6895;9054;69428;54275;62765;52476;2191;;1811;1618;1263;2600;1104;2077;;;864;723;;;349;792;3049;3212;1892;2392;;;;789;;;23;547;;;;;;;1120;912;;;;100;;;19;40;;;122;226;;;13;18;;;;;;;;;3616;;4518;;;;;;;;81;;;;;;;;190;;4000;;3365;;;;;;;;103;;;;;;;;;;;;;;;;;;;;;;;;;188;
230;Rottal-Inn;9;163308;162109;;;103874;104487;;;1233;2052;902;1227;102641;102435;102972;103260;;;;;16619;17920;15626;14151;2070;10305;4195;14359;2668;4868;2753;5742;4773;5828;4996;6786;62748;54904;60501;51702;;;1434;1392;1627;1743;1296;1761;;;722;599;;1719;438;1388;2857;4626;1740;2472;;;;674;;;40;486;;;;;;;1346;1140;;;;59;;522;32;124;;;113;194;;;17;20;;;;;;;;;3129;;3723;;;;;;;;82;;;;;;;;185;;5378;;3602;;;;;;;;131;;772;;;;;;;;;;;;;;;;;;;;;;;211;
231;Straubing;9;173773;173068;;;111537;112708;;;1167;1621;988;1345;110370;111087;110549;111363;;;;;19400;24922;17790;15817;2596;8650;4653;15232;2757;5410;3297;7257;3582;4372;4324;5925;67579;61572;63887;55844;1915;;1627;1526;1858;2519;1513;2085;;;688;629;;;377;1258;3201;3040;1939;2831;;;;772;;;19;534;;;;;;;1390;1232;;;;69;;;14;28;;;81;171;;;16;13;;;;;;;;;3662;;4375;;;;;;;;59;;;;;;;;191;;3820;;4171;;;;;;;;138;;;;;;;;;;;;;;;;;;;;;;;602;;140;
232;Amberg;9;215146;214616;;;151021;153659;;;1542;3314;1285;1680;149479;150345;149736;151979;;;;;31253;30587;29036;25606;3148;18922;5633;19418;4909;10544;5052;10629;7365;13833;8997;12807;87248;71148;80073;68586;3781;;2920;3686;2229;3818;1586;2839;;;981;965;;;372;913;3824;;1959;2083;;;;1284;;1493;53;1288;;;;;;;1375;1026;;;;234;;;30;62;;;142;213;;;32;37;;;;;;;;;;;5273;;;;;;;;109;;;;;;;;280;;5722;;5681;;;;;;;;152;;;;;;;;;;;;;;;;;;;;;;;;;303;
233;Regensburg;9;248820;243083;;;171954;171002;;;1394;1933;1315;1455;170560;169069;170639;169547;;;;;37541;35207;32902;29375;6830;21618;7835;22998;5839;10514;6617;11453;14202;14784;15759;18343;82648;75653;82556;72120;3453;2903;3354;3566;1442;2753;1280;2297;;;1261;1316;;;475;1100;4184;4410;2571;2772;;;;1037;;1227;35;1171;;;;;;;1320;1078;;;;153;;;23;68;;;213;430;;;33;40;;;;;;;;;6229;;7000;;;;;;;;103;;;;;;;;279;;7799;;6886;;;;;;;;137;;;;;;;;;;;;;;;;;;;;;;393;;;230;
234;Schwandorf;9;216389;216044;;;141364;143939;;;1247;2151;1564;1957;140117;141788;139800;141982;;;;;34716;34321;27066;24828;2430;11058;4701;16553;3820;9396;4505;11310;4516;6423;5927;8580;80840;72791;76453;66951;;;2153;2269;2155;3463;1705;3020;;;1020;966;;;469;1185;2152;2830;1527;2305;;;;1225;;;42;761;;;;;2964;;2120;1288;;;;159;;;21;49;;;103;191;;;38;22;;;;;;;;;;;4575;;;;;;;;105;;;;;;;;253;;6524;;6858;;;;;;;;159;;;;;;;;;;;;;;;;;;;;;;;1506;;320;
235;Weiden;9;170403;172011;;;118903;124026;;;1114;1859;1193;2270;117789;122167;117710;121756;;;;;25881;24261;26484;24467;1735;8664;3953;14272;3117;6567;3982;9093;4531;6031;5072;8060;64930;54891;62126;54009;1806;;1758;2207;1895;2994;1909;3071;;;772;872;;;289;693;1489;1563;1098;1565;;;;1132;;;27;642;;;;;;;1071;1054;;;;108;;;19;33;;;105;176;;;18;21;;;;;;;;;2855;;4243;;;;;;;;109;;;;;;;;254;;4165;;4259;;;;;;;;162;;;;;;;;;;;;;;;;;;;;;;5385;17196;;281;
236;Bamberg;9;179923;177197;;;126869;129049;;;995;1563;920;1170;125874;127486;125949;127879;;;;;28794;26044;24924;19553;4252;13590;6073;17523;4365;7601;5143;8316;10283;11726;11267;13512;65723;62548;61546;57433;3025;;2905;3041;1661;1899;1619;1759;;;964;790;;2213;586;1937;;;792;754;;;;1061;;;40;714;;;;;;1562;570;770;;;;188;;;19;33;;;139;244;;;60;58;;;;;;;;;4222;;5211;;;;;;;;82;;;;;;;;319;;3549;;3559;;;;;;;;131;;;;;;;;;;;;;;;;;;;;;;;303;;193;
237;Bayreuth;9;164828;164344;;;115659;117290;;;1187;1654;855;974;114472;115636;114804;116316;;;;;29344;23920;26676;22018;3133;9898;5539;16066;3246;6318;3783;6865;7189;13096;7803;10937;63936;58848;56846;51124;2663;;2192;2401;1392;1701;1104;1593;;;796;690;;1855;530;1520;;;556;595;;;;818;;;44;570;;;;;;;398;414;;;;293;;;16;30;;;112;181;;;24;20;;;;;;;;;3569;;4435;;;;;;;;70;;;;;;;;245;;;;3524;;;;;;;;111;;;;;;;;;;;;;;;;;;;;;;;;;181;
238;Coburg;9;160103;162834;;;111378;115851;;;985;1784;1008;1272;110393;114067;110370;114579;;;;;35785;28882;30708;26869;1835;8805;4469;13398;3681;7475;4415;8116;4274;9380;6309;8707;55309;55174;51567;49248;1717;;1785;2093;1740;2775;1621;2384;;;678;597;;;218;614;;1234;536;697;;;;711;;;25;302;;;;;;;305;261;;;;231;;;17;25;;;109;165;;;39;35;;;;;;;;;3143;;4730;;;;;;;;62;;;;;;;;243;;2909;;2435;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;342;;126;
239;Hof;9;174569;180735;;;118838;126096;;;1089;2057;1201;1735;117749;124039;117637;124361;;;;;33731;33763;31406;29265;1527;9604;4418;14036;5264;9994;5619;10550;6449;9302;6315;8678;64888;57632;55219;51661;;;2257;2248;1722;3094;1461;2458;;;1030;1005;;;446;916;;;504;484;;;;999;;;40;612;;;;;;;597;487;;;;511;;;14;49;;;87;167;;;19;31;;;;;;;;;4168;;5109;;;;;;;;107;;;;;;;;235;;;;2598;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;650;;204;
240;Kulmbach;9;172449;173473;;;122307;128501;;;1225;1198;1207;1384;121082;127303;121100;127117;;;;;27587;18717;26030;21863;1996;4885;4513;14520;3616;6624;4392;8038;4845;5985;6396;8731;68903;86658;63378;62880;2212;;2316;2332;2013;3027;2017;2682;;;889;827;;;554;1215;1430;1407;856;1091;;;;1045;;;31;659;;;;;1118;;758;546;;;;259;;;12;48;;;122;185;;;28;25;;;;;;;;;3829;;4800;;;;;;;;105;;;;;;;;307;;3533;;3476;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;171;
241;Ansbach;9;243643;243953;;;166555;171989;;;1683;2553;1458;2119;164872;169436;165097;169870;;;;;38331;37133;36690;32847;7454;17346;7619;23222;6202;9231;6368;12176;9665;14054;13771;17294;87922;80239;78640;68128;3938;3248;3276;3512;2496;3835;2008;3023;;;1114;1061;;;643;1301;;3658;1848;2662;;;;1520;204;;123;1159;;;;;1522;;860;553;;;;618;;;33;42;433;;239;400;;;23;37;;;;;;;;;;;5950;;;;;;;;177;;;;;;;;351;;6705;;5208;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;692;;315;
242;Erlangen;9;179506;177261;;;135186;135845;;;863;1335;937;1091;134323;134510;134249;134754;;;;;35377;32269;32638;28248;2990;12736;7440;20048;5611;8275;5840;8821;11980;15036;15395;18043;65151;60685;55940;48552;3216;;3311;4096;957;1596;917;1362;;;901;794;;;289;596;;1686;1144;1177;;1946;;1095;;;51;994;;;;;569;;507;308;;;;208;;;26;37;;;126;210;;;45;45;;;;;;;;;4393;;5590;;;;;;;;70;;;;;;;;222;;4079;;3684;;;;;;;;113;;;;;;;;;;;;;;;;;;;;;;;281;;120;
243;Fürth;9;253603;249703;;;178211;179941;;;1370;2512;1504;2030;176841;177429;176707;177911;;;;;47936;44505;44485;37820;3239;15361;8251;24978;7524;13798;8816;14667;14595;17109;16126;20314;86997;76897;75595;63392;4792;4166;4148;5035;2246;3551;1739;2714;;;1338;1355;;;887;1251;;;1374;1610;;;;1512;;;78;1604;;;;;;;772;492;;;;393;;;30;66;;;185;364;;;70;66;;;;;;;;;5588;;7824;;;;;;;;132;;;;;;;;305;;3924;;4335;;;;;;;;217;;;;;;;;;;;;;;;;;;;;;;;2042;;278;
244;Nürnberg-Nord;9;193031;189738;;;132674;135154;;;1053;1572;1027;1190;131621;133582;131647;133964;;;;;41666;41246;35310;29751;3556;10652;7150;18528;8099;10923;9311;12554;13336;15043;17444;20934;51829;48943;45748;40094;4055;4268;4221;4940;1341;2320;1061;1835;;;1032;1129;;;409;611;;;940;847;;;;620;;;57;1081;;;;;;;337;233;;;;168;;;26;52;;;165;313;122;187;149;106;;;;;;;;;4417;;5906;;;;;;;;81;;;;;;;;244;;2134;;1909;;;;;;;;147;;873;;;;;;;;;;;;;;;;;;;;193;;;168;
245;Nürnberg-Süd;9;185799;184672;;;121814;124786;;;1157;1689;1239;1371;120657;123097;120575;123415;;;;;38942;37159;34363;30766;2192;10498;5087;14592;6038;10794;6948;11698;8165;10048;9705;12210;53519;47519;48881;42645;3056;2653;2936;3220;1701;3136;1572;2548;;;890;946;;;481;752;;;761;753;;;;776;168;1290;110;1500;;;;;;;318;267;;;;209;;;11;44;;;114;262;;;50;62;;;;;;;;;4498;;5737;;;;;;;;79;;;;;;;;214;;2378;;2187;;;;;;;;131;;;;;;;;;;;;;;;;;;;;;;;;;165;
246;Roth;9;226102;224946;;;168765;171076;;;1566;2256;1312;1692;167199;168820;167453;169384;;;;;46200;40464;41107;36327;5371;18809;7467;23177;6064;9610;6394;11262;11142;16521;14247;19517;84618;75280;76181;64763;4137;3205;3252;3690;2598;3289;1471;2487;;;1235;1162;;;803;1474;;;1095;1065;;;;1139;;1642;68;1822;;;;;;;560;495;;;;359;;;18;42;;;180;361;;;24;28;;;;;;;;;;;6533;;;;;;;;141;;;;;;;;293;;7069;;6192;;;;;;;;192;;;;;;;;;;;;;;;;;;;;;;;;;214;
247;Aschaffenburg;9;184171;183872;;;131310;135005;;;2410;2840;1964;2297;128900;132165;129346;132708;;;;;32308;25143;28408;23235;4199;15185;7003;20868;3641;8072;4691;8828;10284;22717;11135;15071;67591;56491;61741;53201;3314;;2545;2828;2173;2716;1550;1750;;;1098;917;;;739;1791;1551;1841;791;979;;;;1089;;;52;1180;;;;;;;563;329;;;;99;;;15;50;;;190;246;;;75;67;;;;;;;;;;;5263;;;;;;;;156;;;;;;;;263;;3373;;2902;;;;;;;;166;;;;;;;;;;;;;;;;;;;;;;466;;;180;
248;Bad Kissingen;9;217994;219607;;;155355;162052;;;1822;2659;1733;1900;153533;159393;153622;160152;;;;;30564;28487;27931;23712;4391;13592;7342;22188;6930;13000;6946;13717;12127;14723;9874;12475;88911;85574;82760;75708;3562;;2980;2807;2789;3305;2018;2504;;;919;804;;;884;1580;;;1119;1242;;;;1339;;;67;703;;;;;;;756;495;;;;259;;;27;56;;;167;264;;;40;33;;;;;;;;;;;4988;;;;;;;;125;;;;;;;;311;;4259;;4129;;;;;;;;239;;;;;;;;;;;;;;;;;;;;;;;712;;266;
249;Main-Spessart;9;197762;199081;;;143137;147482;;;2024;3186;1707;2289;141113;144296;141430;145193;;;;;32812;28659;30486;25872;3632;12858;6413;20360;4426;8817;4839;9346;8810;13649;9972;14285;73001;75542;69953;63513;2822;;2670;2888;1360;1620;1404;1575;;;1119;1067;1223;2230;1001;1826;;;915;1087;;;;1205;330;;151;986;;;;;;;525;379;;921;;232;;;31;47;;;167;307;;;25;46;;;;;;;;;4652;;5583;;;;;;;;90;;;;;;;;301;;8045;;5619;;;;;;;;166;;;;;;;;;;;;;;;;;;;;;;;;;172;
250;Schweinfurt;9;200150;200116;;;141275;146050;;;1713;3121;1416;1867;139562;142929;139859;144183;;;;;32190;27794;28872;24747;2921;13713;5906;18742;7514;14803;6940;13317;8052;14598;9903;13182;76548;66253;71264;62265;2994;;2493;3076;2042;3029;1333;1829;;;852;771;;;1118;1790;1155;;859;990;;;;1090;;;56;765;;;;;1532;2213;828;784;;;;277;;;23;40;;;114;242;;;52;62;;;;;;;;;;;4665;;;;;;;;121;;;;;;;;264;;4614;;4041;;;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;526;;214;
251;Würzburg;9;226597;225807;;;166593;170031;;;1364;2185;1322;1569;165229;167846;165271;168462;;;;;42136;39055;37225;31440;5323;17030;8485;23203;5374;9334;6637;10582;16454;21914;19311;24341;80776;73800;74187;65294;4134;3659;4014;4262;1439;2312;946;1287;;;1136;1103;;;1279;2462;1903;;1388;1422;;;;1011;;;49;836;;;;;;;495;428;;;;250;;;20;59;;;167;260;;;29;36;;;;;;;;;4831;;6388;;;;;;;;94;;;;;;;;319;;2859;;2920;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;742;;186;
